12	1	4	4	2.5	2	2	-99	-99	-99	0	0	0	-99	-99	-99	-99	2	1	1	0	0	0	-99
15	1	6	6	3	1.16666666666667	1.42857142857143	1.2	1.5	1	0	0.166666666666667	0.142857142857143	0.6	1	0.333333333333333	0.225548902195609	1	6	7	5	2	3	3
16	1	5	5	-99	-99	-99	2	-99	1	-99	-99	-99	0	-99	0	0.225548902195609	0	0	0	1	0	1	0
3	1	6	6	3	3	3	-99	-99	-99	0	0	0	-99	-99	-99	0.225548902195609	2	1	1	0	0	0	0
20	1	3	3	2.8	3	-99	2.66666666666667	-99	-99	0	0	-99	0.333333333333333	-99	-99	0.225548902195609	5	1	0	3	0	0	0
7	1	6	6	1.5	3	1.75	3	3	3	0	0	0	1	1	1	-0.774451097804391	4	2	4	1	1	1	0
1	0	6	6	3	3	2.66666666666667	3	3	3	0	0	0	0	0	0	-0.774451097804391	2	1	3	1	2	1	0
10	1	3	4	3	2.33333333333333	1.6	-99	2	3	0	0	0	-99	0	0	-0.774451097804391	3	3	5	0	3	1	0
1	0	6	6	1	1	1	-99	2	2	0	0	0	-99	0	0	-0.774451097804391	1	1	1	0	1	1	1
9	0	4	2	-99	1	1	-99	1	3	-99	0	0	-99	0	0	0.225548902195609	0	3	6	0	2	1	1
19	0	5	6	3	2.33333333333333	3	-99	-99	-99	0	0	0	-99	-99	-99	-99	2	3	4	0	0	0	-99
17	1	5	6	3	1	1	2.33333333333333	1	1	0	0	0	0.666666666666667	1	0.333333333333333	0.225548902195609	1	3	4	3	3	3	3
1	0	6	6	1.5	1.2	-99	1.5	1.33333333333333	2	0	0.2	-99	0.5	0.333333333333333	0	0.225548902195609	4	5	0	2	3	1	0
2	0	6	6	2.66666666666667	1.5	1.33333333333333	1.33333333333333	1.66666666666667	1.33333333333333	0	0	0	0	0	0	0.225548902195609	3	4	3	3	3	3	3
16	1	5	5	1	2	2	1	2	2	0	0	0	0	0	0	0.225548902195609	3	1	1	1	1	1	1
19	0	5	6	-99	-99	-99	3	2.5	3	-99	-99	-99	0	0	0	0.225548902195609	0	0	0	1	2	1	0
3	1	6	6	2.66666666666667	3	3	3	3	3	0	0	0	0	0	0	0.225548902195609	3	1	1	1	1	1	1
3	1	6	6	3	3	2	3	3	3	0	0	0	0	1	0	0.225548902195609	1	1	2	1	1	1	0
7	1	6	6	2	-99	-99	-99	-99	-99	0	-99	-99	-99	-99	-99	0.225548902195609	5	0	0	0	0	0	3
15	1	6	6	2	3	2.5	-99	-99	-99	0	0	0	-99	-99	-99	-99	1	1	2	0	0	0	-99
11	0	1	2	3	3	3	-99	1.5	1	0	0	0	-99	0	0	0.225548902195609	1	2	1	0	2	1	0
5	0	2	3	2	2.5	2.5	-99	-99	-99	0	0	0	-99	-99	-99	-99	3	2	2	0	0	0	-99
19	0	5	6	2	3	2	1.5	1.5	1.5	0	0	0	0	0	0	0.225548902195609	3	1	1	2	4	2	2
18	1	5	6	1.5	1	1.5	1	2	1.5	0	0	0	0	0	0	-0.774451097804391	2	1	2	3	3	2	0
11	0	1	2	2.28571428571429	2.5	2.5	-99	-99	-99	0	0	0	-99	-99	-99	-1.77445109780439	7	6	6	0	0	0	0
4	1	2	2	2.33333333333333	2.5	1	-99	-99	-99	0	0	0	-99	-99	-99	-99	3	2	1	0	0	0	-99
5	0	2	3	2	2.33333333333333	2.5	-99	-99	-99	0	0	0	-99	-99	-99	-99	5	3	4	0	0	0	-99
10	1	3	4	3	3	1	2	2	2	0	1	0	0	0	0.25	0.225548902195609	1	1	3	2	4	4	3
18	1	5	6	1.5	1.25	1.25	-99	-99	-99	0	0	0	-99	-99	-99	-0.774451097804391	2	4	4	0	0	0	0
10	1	3	4	3	3	1	-99	-99	-99	0	0	0	-99	-99	-99	-99	1	1	1	0	0	0	-99
11	0	1	2	2	1.75	3	1.5	2	-99	0	0	0	0	0	-99	0.225548902195609	2	4	2	2	3	0	3
4	1	2	2	1	1	2	3	2	1	0	0	0	0	0	0	-0.774451097804391	2	1	1	1	1	1	0
19	0	5	6	1.5	1	1	0.666666666666667	1	0.666666666666667	0	0	0	0	0	0	0.225548902195609	2	1	1	3	2	3	3
3	1	6	6	2.75	1	2	2	2.33333333333333	2.25	0	0	0	0.4	0.333333333333333	0.5	0.225548902195609	4	1	2	5	3	4	0
12	1	4	4	1	1	1.44444444444444	1	2	1.33333333333333	0	0	0	0	0	0	0.225548902195609	4	4	9	3	1	3	1
20	1	3	3	3	2	3	-99	-99	3	0	0	0	-99	-99	0	0.225548902195609	1	1	1	0	0	1	3
4	1	2	2	2.5	3	1.5	2	2.5	1.33333333333333	0	0	0	0	0.5	0	-0.774451097804391	4	1	2	1	2	3	0
13	0	6	6	2.125	1	1.33333333333333	3	1.66666666666667	2	0	0.2	0	0	0	0	0.225548902195609	8	5	3	1	3	1	0
