2	12	1	4	2.5	2	2	-99	-99	-99	0	0	0	-99	-99	-99	-99	0	0	0	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	3	6	7	3	7	7	7	1	1	7	-99	-99	-99	-99
2	15	1	6	3	1.16666666666667	1.42857142857143	1.2	1.5	1	0	0.166666666666667	0.142857142857143	0.6	1	0.333333333333333	2	5	2	3	2	3	3	3	3	3	2	2	3	3	2	3	3	3	3	3	4	5	6	4	4	6	6	6	2	3	7	3	3	3	3
2	16	1	5	-99	-99	-99	2	-99	1	-99	-99	-99	0	-99	0	2	1	0	1	3	3	3	3	3	3	3	3	3	2	2	3	3	3	3	2	3	6	6	2	3	3	3	3	6	6	2	3	3	3	3
2	3	1	6	3	3	3	-99	-99	-99	0	0	0	-99	-99	-99	2	0	0	0	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	6	5	5	2	4	3	5	5	4	4	-99	-99	-99	-99
2	20	1	3	2.8	3	-99	2.66666666666667	-99	-99	0	0	-99	0.333333333333333	-99	-99	2	3	0	0	4	4	4	4	4	4	3	2	3	3	3	3	2	2	3	3	2	4	4	4	2	4	4	6	5	5	5	4	4	4	3
4	7	1	6	1.5	3	1.75	3	3	3	0	0	0	1	1	1	1	1	1	1	3	3	2	3	4	3	2	2	3	3	3	3	3	3	3	3	3	6	6	6	4	6	6	6	5	4	6	2	2	2	3
2	1	0	6	3	3	2.66666666666667	3	3	3	0	0	0	0	0	0	1	1	2	1	2	4	3	4	4	3	-99	1	3	2	3	4	4	4	4	4	4	7	6	2	6	7	7	7	4	4	6	2	2	1	1
2	10	1	3	3	2.33333333333333	1.6	-99	2	3	0	0	0	-99	0	0	1	0	3	1	3	3	3	3	3	3	2	2	2	2	3	3	3	3	2	3	3	4	4	3	4	3	5	2	3	4	6	3	3	3	3
2	1	0	6	1	1	1	-99	2	2	0	0	0	-99	0	0	1	0	1	1	3	3	2	3	4	3	3	3	2	2	2	3	3	2	2	3	3	4	4	5	3	7	5	5	5	5	4	3	2	2	3
2	9	0	4	-99	1	1	-99	1	3	-99	0	0	-99	0	0	2	0	2	1	2	3	3	3	4	3	1	2	3	2	3	3	3	2	2	2	3	3	5	3	2	4	4	5	2	2	6	3	3	3	2
2	19	0	5	3	2.33333333333333	3	-99	-99	-99	0	0	0	-99	-99	-99	-99	0	0	0	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	6	6	6	5	6	4	4	4	2	7	-99	-99	-99	-99
2	17	1	5	3	1	1	2.33333333333333	1	1	0	0	0	0.666666666666667	1	0.333333333333333	2	3	3	3	4	3	2	3	4	4	3	1	3	2	3	3	2	3	3	3	4	6	5	6	6	6	5	3	2	2	5	4	4	4	4
2	1	0	6	1.5	1.2	-99	1.5	1.33333333333333	2	0	0.2	-99	0.5	0.333333333333333	0	2	2	3	1	3	2	3	3	4	3	2	2	3	3	3	3	3	3	3	4	4	5	7	4	5	5	4	5	3	3	6	4	3	4	3
2	2	0	6	2.66666666666667	1.5	1.33333333333333	1.33333333333333	1.66666666666667	1.33333333333333	0	0	0	0	0	0	2	3	3	3	-99	3	3	3	4	4	2	3	3	3	3	3	3	2	3	3	2	5	5	5	4	7	7	3	1	3	6	3	3	3	4
2	16	1	5	1	2	2	1	2	2	0	0	0	0	0	0	2	1	1	1	2	3	3	3	3	2	2	2	3	1	2	2	3	3	3	4	3	6	6	3	5	2	3	3	4	6	4	2	2	2	2
2	19	0	5	-99	-99	-99	3	2.5	3	-99	-99	-99	0	0	0	2	1	2	1	3	3	3	3	3	4	3	2	4	4	3	3	3	3	3	3	3	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	2	3	3	2
2	3	1	6	2.66666666666667	3	3	3	3	3	0	0	0	0	0	0	2	1	1	1	2	4	3	4	4	4	2	2	4	3	3	3	2	2	3	3	4	5	5	6	4	7	6	5	1	2	5	3	3	3	2
