12	1	4	4	0	0	0	-99	-99	-99	-99	-99	-99	-99	0	0	0	-99	-99	-99
15	1	6	6	0	0.166666666666667	0.142857142857143	0.6	1	0.333333333333333	3	3	2	2.5	5	2	3	179.6	205.5	90.6666666666667
16	1	5	5	-99	-99	-99	0	-99	0	0	3	2	2.66666666666667	1	0	1	83	-99	94
3	1	6	6	0	0	0	-99	-99	-99	0	-99	2	-99	0	0	0	-99	-99	-99
20	1	3	3	0	0	-99	0.333333333333333	-99	-99	0	3.75	2	3	3	0	0	371	-99	-99
7	1	6	6	0	0	0	1	1	1	0	2.25	1	2.66666666666667	1	1	1	824	704	624
1	0	6	6	0	0	0	0	0	0	0	1.5	1	2.4	1	2	1	882	390	364
10	1	4	3	0	0	0	-99	0	0	0	3	1	2.33333333333333	0	3	1	-99	260	583
1	0	6	6	0	0	0	-99	0	0	1	2.5	1	2.5	0	1	1	-99	163	122
9	0	2	4	-99	0	0	-99	0	0	1	2.75	2	2.33333333333333	0	2	1	-99	165.5	261
19	0	6	5	0	0	0	-99	-99	-99	-99	-99	-99	-99	0	0	0	-99	-99	-99
17	1	6	5	0	0	0	0.666666666666667	1	0.333333333333333	3	4	2	2.66666666666667	3	3	3	568.666666666667	346.666666666667	249.666666666667
1	0	6	6	0	0.2	-99	0.5	0.333333333333333	0	0	3.5	2	2.66666666666667	2	3	1	134	73.3333333333333	130
2	0	6	6	0	0	0	0	0	0	3	3.25	2	3	3	3	3	133	108.666666666667	76.6666666666667
16	1	5	5	0	0	0	0	0	0	1	2	2	2	1	1	1	343	220	169
19	0	6	5	-99	-99	-99	0	0	0	0	2.5	2	3.33333333333333	1	2	1	730	397	700
3	1	6	6	0	0	0	0	0	0	1	2.75	2	3	1	1	1	1217	731	605
3	1	6	6	0	0	0	0	1	0	0	3	2	2.33333333333333	1	1	1	934	1314	1009
7	1	6	6	0	-99	-99	-99	-99	-99	3	2.75	2	2	0	0	0	-99	-99	-99
15	1	6	6	0	0	0	-99	-99	-99	-99	-99	-99	-99	0	0	0	-99	-99	-99
11	0	2	1	0	0	0	-99	0	0	0	2.75	2	1.66666666666667	0	2	1	-99	170.5	489
5	0	3	2	0	0	0	-99	-99	-99	-99	-99	-99	-99	0	0	0	-99	-99	-99
19	0	6	5	0	0	0	0	0	0	2	2.75	2	3.16666666666667	2	4	2	150	216	173.5
18	1	6	5	0	0	0	0	0	0	0	2.75	1	2.33333333333333	3	3	2	184.666666666667	194.333333333333	84.5
11	0	2	1	0	0	0	-99	-99	-99	0	-99	0	-99	0	0	0	-99	-99	-99
4	1	2	2	0	0	0	-99	-99	-99	-99	-99	-99	-99	0	0	0	-99	-99	-99
5	0	3	2	0	0	0	-99	-99	-99	-99	-99	-99	-99	0	0	0	-99	-99	-99
10	1	4	3	0	1	0	0	0	0.25	3	3	2	2.83333333333333	2	4	4	917	446	451
18	1	6	5	0	0	0	-99	-99	-99	0	-99	1	-99	0	0	0	-99	-99	-99
10	1	4	3	0	0	0	-99	-99	-99	-99	-99	-99	-99	0	0	0	-99	-99	-99
11	0	2	1	0	0	0	0	0	-99	3	3.25	2	2.33333333333333	2	3	0	410	195.666666666667	-99
4	1	2	2	0	0	0	0	0	0	0	2.75	1	2.66666666666667	1	1	1	431	169	174
19	0	6	5	0	0	0	0	0	0	3	3.5	2	3.5	3	2	3	135	186	89.3333333333333
3	1	6	6	0	0	0	0.4	0.333333333333333	0.5	0	1.5	2	2	5	3	4	518.8	535.666666666667	331.25
12	1	4	4	0	0	0	0	0	0	1	2.75	2	2.66666666666667	3	1	3	120.333333333333	300	104.666666666667
20	1	3	3	0	0	0	-99	-99	0	3	3.25	2	2.66666666666667	0	0	1	-99	-99	409
4	1	2	2	0	0	0	0	0.5	0	0	2.66666666666667	1	2.16666666666667	1	2	3	358	219.5	143.333333333333
13	0	6	6	0	0.2	0	0	0	0	0	2	2	1.83333333333333	1	3	1	1367	855.666666666667	788
15	1	6	6	0	0	0	-99	-99	-99	-99	-99	-99	-99	0	0	0	-99	-99	-99
1	0	6	6	0	0	0	0.5	0.333333333333333	0.75	3	3	2	2.66666666666667	6	3	4	571.166666666667	683.666666666667	501.75
12	1	4	4	0	0	0	0	0	0	3	2	1	3	3	2	2	302	330	274.5
10	1	4	3	0	0	0	-99	-99	-99	-99	-99	-99	-99	0	0	0	-99	-99	-99
16	1	5	5	0	0	0	0	0	0	3	2.75	2	2.83333333333333	1	4	3	932	270.75	278.666666666667
16	1	5	5	0	0	0	0	0	0	3	2.25	2	2.16666666666667	6	3	2	80.8333333333333	158.333333333333	227
20	1	3	3	0	0	-99	0	0.333333333333333	0	0	1	2	1.5	1	3	2	33	79.6666666666667	57
14	0	2	2	0	0	0	0.571428571428571	0	0	2	2.5	2	2.66666666666667	7	4	4	224.428571428571	371.5	206.25
11	0	2	1	0	0	0	0	0.25	0	0	2.5	2	2	4	4	2	369.75	272.75	329.5
17	1	6	5	0	0	0	0	0.333333333333333	0	0	2	1	2	1	3	2	247	130.333333333333	156.5
16	1	5	5	0	0	0	0	0.166666666666667	0	3	3	2	2.83333333333333	1	6	4	1763	236.333333333333	538
7	1	6	6	0	0	0	1	0.6	1	0	3	2	3	2	5	1	686.5	311.8	548
11	0	2	1	0	0	0	-99	-99	-99	-99	-99	-99	-99	0	0	0	-99	-99	-99
17	1	6	5	0	0	0	0	0	0	0	2	1	1.83333333333333	2	2	1	196	151	175
5	0	3	2	0	-99	-99	0.5	0.75	1	2	2	2	2.33333333333333	6	4	1	95	28.25	240
15	1	6	6	0	0	0	0	0	0	0	2	2	2.33333333333333	4	3	2	64.25	65.3333333333333	75
4	1	2	2	0	0	0	0	0.5	0	0	2.5	2	2.66666666666667	1	2	6	864	425.5	52.8333333333333
14	0	2	2	0.142857142857143	0	0	0	0.2	0	0	3	2	2.83333333333333	4	5	3	146.25	181.8	282.333333333333
9	0	2	4	0	0	0	0	0	0	3	2.5	1	2.66666666666667	1	1	4	929	735	325.25
10	1	4	3	0	0	0	0	0	-99	2	3	1	2.33333333333333	1	1	0	288	275	-99
5	0	3	2	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	0	0	0	-99	-99	-99
3	1	6	6	0	0	0	1	1	0	1	3.25	2	2.16666666666667	1	1	1	515	511	412
17	1	6	5	0	0	0	-99	-99	-99	-99	-99	-99	-99	0	0	0	-99	-99	-99
5	0	3	2	0	0	0	-99	-99	-99	-99	-99	-99	-99	0	0	0	-99	-99	-99
10	1	4	3	0	0	0	0	0	0	0	3.75	2	3.5	2	2	4	81	139.5	108.75
10	1	4	3	0	0	0	-99	-99	-99	-99	-99	-99	-99	0	0	0	-99	-99	-99
20	1	3	3	0	0	0	0	0	0	0	2	2	2.83333333333333	6	3	1	268.333333333333	204.333333333333	199
18	1	6	5	0	0	0	0.25	0.333333333333333	0	3	3.5	2	2.66666666666667	8	6	5	76.875	118.666666666667	96.8
16	1	5	5	0	0	0	1	0	0	3	3	2	2.83333333333333	1	4	3	1136	323.5	74
13	0	6	6	0	0	-99	0	0	0	1	3	2	2.5	6	4	4	26.1666666666667	29.5	30.25
7	1	6	6	0	0	0	1	0.666666666666667	0.5	3	3	1	2	3	3	2	86	68.6666666666667	83
7	1	6	6	0	0	0	1	0.5	1	3	3	2	2.66666666666667	2	2	1	408.5	520	920
6	0	3	2	0	0	0	-99	-99	-99	-99	-99	-99	-99	0	0	0	-99	-99	-99
8	1	6	6	0	0	0	0	0	1	3	2.75	1	3.16666666666667	1	1	1	784	1166	914
12	1	4	4	0	0	0	0	0	0	3	-99	2	2	1	1	1	1085	678	886
19	0	6	5	0	0	0	0	0	0	0	3.25	2	2.83333333333333	8	4	3	209.625	272.75	181
8	1	6	6	0	0	0	0	0	0	2	1.5	1	2.83333333333333	1	1	2	235	159	92.5
10	1	4	3	0	0	0	0.166666666666667	0.2	0.333333333333333	0	2.5	2	2.83333333333333	6	5	3	416.666666666667	515.8	471.333333333333
13	0	6	6	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	0	0	0	-99	-99	-99
12	1	4	4	0	0	0	-99	-99	-99	-99	-99	-99	-99	0	0	0	-99	-99	-99
5	0	3	2	0	0	0	-99	-99	-99	-99	-99	-99	-99	0	0	0	-99	-99	-99
3	1	6	6	0	0	0	0	0.125	0	1	3	2	2.33333333333333	3	8	4	136.333333333333	75	107.75
2	0	6	6	-99	-99	0	-99	0	-99	1	4	1	3.33333333333333	0	3	0	-99	168	-99
4	1	2	2	0	0	0	0	0.1	0	3	2.25	2	2.5	8	10	7	162	118.2	132.285714285714
2	0	6	6	0	0	0	0	0	0	2	2.25	2	2.33333333333333	5	9	1	202.4	193.666666666667	1247
13	0	6	6	0	0	0	0	-99	0	0	2.25	2	2	2	0	3	140.5	-99	152.666666666667
1	0	6	6	0	0	0	0	0.333333333333333	0	0	2.25	2	2.83333333333333	1	3	8	1057	365.333333333333	109.75
3	1	6	6	0	0	0	-99	-99	-99	-99	-99	-99	-99	0	0	0	-99	-99	-99
6	0	3	2	0	0	0	0	0	0	0	2.75	2	2.33333333333333	1	4	1	682	118.25	358
14	0	2	2	0	0	0	0.333333333333333	0	0	3	3	2	2.5	3	1	3	397.666666666667	258	119
10	1	4	3	0	0	0	0	0	0	0	1.5	0	2.33333333333333	7	1	1	103.142857142857	858	129
8	1	6	6	0	0	0	1	0.666666666666667	1	0	2.5	1	2	2	3	1	334.5	225	237
19	0	6	5	0	0	0	0.5	0	0	3	3.25	2	3.33333333333333	4	4	2	545.75	493.5	394
