3	1	1	1	1	1	0
4	-99	-99	-99	-99	-99	0
7	1	1	0	1	0	0
7	0	1	1	0	1	0
7	1	1	0	0	0	0
7	1	0	0	1	0	0
8	1	1	1	1	0	0
8	0	1	1	1	0	0
9	1	1	1	1	0	0
9	0	1	1	1	1	0
9	0	1	1	1	0	0
10	0	1	0	0	0	0
11	-99	-99	-99	-99	-99	0
13	1	1	1	1	1	0
13	-99	-99	-99	-99	-99	0
14	1	1	0	1	0	0
14	0	1	0	0	0	0
14	0	1	0	1	0	0
14	0	1	0	0	0	0
15	0	1	1	1	0	0
15	0	1	1	1	0	0
15	1	0	1	1	1	0
16	1	1	0	0	0	0
16	1	0	1	0	1	0
16	1	1	0	0	1	0
18	1	1	1	1	1	0
18	1	1	1	1	1	0
18	1	0	1	1	0	0
19	1	1	1	1	1	0
20	1	1	1	1	0	0
20	0	1	1	1	0	0
20	0	1	1	0	0	0
20	1	1	0	0	0	0
20	1	1	0	0	0	0
22	1	1	1	1	0	0
22	-99	-99	-99	-99	-99	0
24	1	1	0	0	0	0
24	1	1	1	1	1	0
24	1	1	0	1	0	0
25	1	1	0	0	0	0
25	1	1	0	1	0	0
31	1	1	1	1	0	0
31	1	1	0	0	0	0
32	0	1	0	0	0	0
32	1	1	0	0	0	0
33	1	1	0	0	0	0
33	1	1	0	1	0	0
34	1	1	1	1	1	0
34	1	1	1	1	1	0
34	1	1	1	0	1	0
34	0	1	1	1	1	0
35	0	0	1	0	1	0
35	0	0	1	0	1	0
35	1	0	1	0	1	0
35	1	1	0	0	0	0
37	1	0	1	0	0	0
37	1	1	1	1	1	0
37	0	1	1	1	0	0
37	0	1	1	1	0	0
38	1	1	1	0	1	0
38	1	0	1	1	1	0
38	0	1	1	1	1	0
38	0	1	0	1	0	0
38	0	1	1	1	0	0
38	0	1	1	1	0	0
38	1	1	0	1	0	0
38	0	1	0	1	0	0
40	1	1	0	1	0	0
40	0	1	0	0	0	0
40	0	1	0	1	0	0
40	1	1	0	1	0	0
40	0	1	0	0	0	0
40	0	1	0	1	0	0
40	1	0	1	1	0	0
40	1	0	1	1	0	0
41	1	1	0	1	0	0
41	1	1	1	1	1	0
43	1	1	1	1	0	0
43	0	1	0	1	0	0
43	0	1	0	1	0	0
43	0	0	1	1	0	0
44	1	1	0	1	0	0
44	1	1	1	1	1	0
44	0	0	1	1	1	0
44	0	1	0	0	0	0
45	0	0	0	0	0	0
45	0	0	1	0	0	0
46	0	0	1	0	1	0
46	0	1	0	0	0	0
46	0	1	1	1	0	0
46	0	1	1	1	0	0
46	0	1	0	1	0	0
47	1	1	1	1	1	0
47	1	1	1	1	1	0
47	1	1	1	1	1	0
47	1	1	1	1	1	0
48	1	1	0	1	0	0
48	1	1	1	1	0	0
50	1	1	0	1	0	0
50	1	1	1	1	0	0
50	1	1	1	1	1	0
50	0	1	0	1	0	0
50	0	1	0	1	0	0
52	1	0	1	1	0	0
52	1	1	0	1	0	0
53	1	1	1	1	0	0
54	0	0	0	0	0	0
54	0	1	0	0	0	0
55	1	1	0	1	0	0
55	1	1	0	0	0	0
55	1	1	0	1	0	0
56	1	1	1	1	1	0
56	1	0	1	0	1	0
56	1	1	0	0	0	0
