12	1	4	4	2.5	2	2	-99	-99	-99
15	1	6	6	3	1.16666666666667	1.42857142857143	1.2	1.5	1
16	1	5	5	-99	-99	-99	2	-99	1
3	1	6	6	3	3	3	-99	-99	-99
20	1	3	3	2.8	3	-99	2.66666666666667	-99	-99
7	1	6	6	1.5	3	1.75	3	3	3
1	0	6	6	3	3	2.66666666666667	3	3	3
10	1	4	3	3	2.33333333333333	1.6	-99	2	3
1	0	6	6	1	1	1	-99	2	2
9	0	2	4	-99	1	1	-99	1	3
19	0	6	5	3	2.33333333333333	3	-99	-99	-99
17	1	6	5	3	1	1	2.33333333333333	1	1
1	0	6	6	1.5	1.2	-99	1.5	1.33333333333333	2
2	0	6	6	2.66666666666667	1.5	1.33333333333333	1.33333333333333	1.66666666666667	1.33333333333333
16	1	5	5	1	2	2	1	2	2
19	0	6	5	-99	-99	-99	3	2.5	3
3	1	6	6	2.66666666666667	3	3	3	3	3
3	1	6	6	3	3	2	3	3	3
7	1	6	6	2	-99	-99	-99	-99	-99
15	1	6	6	2	3	2.5	-99	-99	-99
11	0	2	1	3	3	3	-99	1.5	1
5	0	3	2	2	2.5	2.5	-99	-99	-99
19	0	6	5	2	3	2	1.5	1.5	1.5
18	1	6	5	1.5	1	1.5	1	2	1.5
11	0	2	1	2.28571428571429	2.5	2.5	-99	-99	-99
4	1	2	2	2.33333333333333	2.5	1	-99	-99	-99
5	0	3	2	2	2.33333333333333	2.5	-99	-99	-99
10	1	4	3	3	3	1	2	2	2
18	1	6	5	1.5	1.25	1.25	-99	-99	-99
10	1	4	3	3	3	1	-99	-99	-99
11	0	2	1	2	1.75	3	1.5	2	-99
4	1	2	2	1	1	2	3	2	1
19	0	6	5	1.5	1	1	0.666666666666667	1	0.666666666666667
3	1	6	6	2.75	1	2	2	2.33333333333333	2.25
12	1	4	4	1	1	1.44444444444444	1	2	1.33333333333333
20	1	3	3	3	2	3	-99	-99	3
4	1	2	2	2.5	3	1.5	2	2.5	1.33333333333333
13	0	6	6	2.125	1	1.33333333333333	3	1.66666666666667	2
15	1	6	6	3	3	1.33333333333333	-99	-99	-99
1	0	6	6	1.75	1.66666666666667	3	2.66666666666667	2.66666666666667	2.5
12	1	4	4	2.5	1	1	2.33333333333333	2.5	2
10	1	4	3	1.5	1	1	-99	-99	-99
16	1	5	5	2.25	2	3	3	1.75	2.33333333333333
16	1	5	5	2	2.5	2.25	1.33333333333333	1	2.5
20	1	3	3	0.5	1	-99	1	1.33333333333333	1
14	0	2	2	2	2	3	1.42857142857143	1	1.75
11	0	2	1	3	3	3	2.5	2	3
17	1	6	5	2.5	1	1	2	1	1
16	1	5	5	3	2.5	2.5	3	2.16666666666667	1.75
7	1	6	6	2.4	1.625	2.25	2.5	1.8	3
11	0	2	1	1	1.5	1	-99	-99	-99
17	1	6	5	2	3	1.66666666666667	2.5	1.5	2
5	0	3	2	3	-99	-99	1.16666666666667	1	1
15	1	6	6	0.5	1	0.75	1.25	1	1
4	1	2	2	1.66666666666667	1.6	1.33333333333333	3	2	1
14	0	2	2	1.85714285714286	1.33333333333333	2	1.75	2	1.66666666666667
9	0	2	4	3	1.5	3	2	3	2.5
10	1	4	3	2	3	1.33333333333333	3	2	-99
5	0	3	2	-99	-99	-99	-99	-99	-99
3	1	6	6	2	2	2	3	3	3
17	1	6	5	1.85714285714286	1.66666666666667	1.66666666666667	-99	-99	-99
5	0	3	2	1	3	2	-99	-99	-99
10	1	4	3	1.5	1.5	1	1.5	1	1.25
10	1	4	3	1	1	1	-99	-99	-99
20	1	3	3	1.44444444444444	1.5	1.33333333333333	2.33333333333333	2	3
18	1	6	5	2.25	1	1.33333333333333	1.125	1.66666666666667	1.2
16	1	5	5	1.66666666666667	3	2	2	1.75	1.33333333333333
13	0	6	6	1.33333333333333	1.22222222222222	-99	0.833333333333333	1	0.75
7	1	6	6	1.45454545454545	1.44444444444444	2	1	1	1
7	1	6	6	3	3	2	2.5	1.5	3
6	0	3	2	1.5	1	2	-99	-99	-99
8	1	6	6	1.33333333333333	3	1	3	3	3
12	1	4	4	2	3	2.5	3	2	2
19	0	6	5	2.5	1.85714285714286	1.66666666666667	1.75	2	2
8	1	6	6	1.33333333333333	2	2.33333333333333	1	2	1.5
10	1	4	3	2.42857142857143	2.16666666666667	2.125	2.33333333333333	1.4	1.66666666666667
13	0	6	6	-99	-99	-99	-99	-99	-99
12	1	4	4	3	3	3	-99	-99	-99
5	0	3	2	2.2	1.8	1.6	-99	-99	-99
3	1	6	6	1	1.33333333333333	1.16666666666667	1.66666666666667	1.125	1
2	0	6	6	-99	-99	1.2	-99	2	-99
4	1	2	2	1.42857142857143	1.16666666666667	1.41666666666667	1.375	1	1.42857142857143
2	0	6	6	2.16666666666667	1.5	1.5	1.4	1.55555555555556	1
13	0	6	6	1	0.666666666666667	1.33333333333333	2	-99	1.66666666666667
1	0	6	6	2.16666666666667	1.66666666666667	1.8	3	1.66666666666667	1.25
3	1	6	6	1.75	1	1	-99	-99	-99
6	0	3	2	3	3	3	3	2.25	3
14	0	2	2	1.5	2.5	1	2.66666666666667	2	1.33333333333333
10	1	4	3	2	2.5	3	1.42857142857143	1	1
8	1	6	6	2.5	2.5	1.77777777777778	2.5	2.33333333333333	2
19	0	6	5	2.5	2.5	2	2.75	2.25	1.5
19	0	6	5	2.33333333333333	1.5	1.5	1.5	2	1
9	0	2	4	2.25	3	2	2	1.5	2
19	0	6	5	3	3	2.16666666666667	3	3	2.33333333333333
17	1	6	5	-99	1.5	1	-99	1	1
20	1	3	3	1.5	1.6	1.66666666666667	1.6	2.2	3
10	1	4	3	3	1.33333333333333	1.5	3	2	3
4	1	2	2	1.33333333333333	1	1	1	2	2
20	1	3	3	2.16666666666667	1.5	1.25	1.2	1.25	1.16666666666667
7	1	6	6	3	3	3	3	2	2.66666666666667
11	0	2	1	2.66666666666667	1.66666666666667	1	2	1	1.33333333333333
12	1	4	4	1.25	1	1	3	1.66666666666667	2
17	1	6	5	-99	1.66666666666667	-99	2	1.66666666666667	2
12	1	4	4	2.4	2.25	1.8	1.33333333333333	-99	-99
4	1	2	2	3	2	2	3	2	3
12	1	4	4	1.5	3	3	3	2.5	3
16	1	5	5	2	2	2	3	1	3
16	1	5	5	1.66666666666667	2	1.66666666666667	-99	-99	-99
17	1	6	5	-99	3	0	-99	-99	-99
18	1	6	5	2	1.5	2	2.5	2.66666666666667	1
6	0	3	2	1.5	2	2	-99	-99	-99
10	1	4	3	1.75	1.33333333333333	1.25	-99	1.5	1.66666666666667
4	1	2	2	3	3	-99	2	2	3
2	0	6	6	2.25	1.6	1.8	3	3	2.5
14	0	2	2	1.8	1.33333333333333	1.6	2.33333333333333	2.2	1
6	0	3	2	2	1.16666666666667	1.66666666666667	-99	1.4	1.75
20	1	3	3	2	-99	-99	2.33333333333333	-99	-99
13	0	6	6	1.66666666666667	2	2	1.66666666666667	1	1
7	1	6	6	2.66666666666667	-99	-99	-99	-99	-99
21	0	4	2	1.5	1	1.33333333333333	3	1.25	1.33333333333333
